,Football_data,Transfermarkt
1,Arsenal,Arsenal FC
2,Aston Villa,Aston Villa
3,Cardiff,Cardiff City
4,Chelsea,Chelsea FC
5,Crystal Palace,Crystal Palace
6,Everton,Everton FC
7,Fulham,Fulham FC
8,Hull,Hull City
9,Liverpool,Liverpool FC
10,Man City,Manchester City
11,Man United,Manchester United
12,Newcastle,Newcastle United
13,Norwich,Norwich City
14,Southampton,Southampton FC
15,Stoke,Stoke City
16,Sunderland,Sunderland AFC
17,Swansea,Swansea City
18,Tottenham,Tottenham Hotspur
19,West Brom,West Bromwich Albion
20,West Ham,West Ham United
22,Burnley,Burnley FC
23,Leicester,Leicester City
24,QPR,Queens Park Rangers
25,Bournemouth,AFC Bournemouth
26,Watford,Watford FC
27,Middlesbrough,Middlesbrough FC
28,Brighton,Brighton & Hove Albion
29,Huddersfield,Huddersfield Town
30,Wolves,Wolverhampton Wanderers
31,Sheffield United,Sheffield United
32,Leeds,Leeds United
33,Brentford,Brentford FC
34,Nott'm Forest,Nottingham Forest
35,Luton,Luton Town
56,Augsburg,FC Augsburg
57,Bayern Munich,Bayern Munich
58,Braunschweig,Eintracht Braunschweig
59,Dortmund,Borussia Dortmund
60,Ein Frankfurt,Eintracht Frankfurt
61,Freiburg,SC Freiburg
62,Hamburg,Hamburger SV
63,Hannover,Hannover 96
64,Hertha,Hertha BSC
65,Hoffenheim,TSG 1899 Hoffenheim
66,Leverkusen,Bayer 04 Leverkusen
67,M'gladbach,Borussia Mînchengladbach
68,Mainz,1.FSV Mainz 05
69,Nurnberg,1.FC Nuremberg
70,Schalke 04,FC Schalke 04
71,Stuttgart,VfB Stuttgart
72,Werder Bremen,SV Werder Bremen
73,Wolfsburg,VfL Wolfsburg
83,FC Koln,1.FC Kˆln
84,Paderborn,SC Paderborn 07
86,Darmstadt,SV Darmstadt 98
87,Ingolstadt,FC Ingolstadt 04
89,RB Leipzig,RB Leipzig
97,Fortuna Dusseldorf,Fortuna DÅsseldorf
98,Union Berlin,1.FC Union Berlin
99,Bielefeld,Arminia Bielefeld
