Team,Competitie,Seizoen,Aantalwedstrijden,Punten,Doelpuntenvoor,Doelpuntentegen
Heracles Almelo,Nederland,23,38,85,103,42
PEC Zwolle,Nederland,23,38,85,99,43
Almere City FC,Nederland,23,38,70,58,41
Willem II,Nederland,23,38,68,68,40
MVV,Nederland,23,38,59,65,65
NAC Breda,Nederland,23,38,59,64,64
VVV-Venlo,Nederland,23,38,58,56,51
FC Eindhoven,Nederland,23,38,58,58,54
Telstar,Nederland,23,38,53,39,52
De Graafschap,Nederland,23,38,52,64,54
Jong AZ,Nederland,23,38,51,60,58
ADO Den Haag,Nederland,23,38,51,51,57
Jong Ajax,Nederland,23,38,46,69,72
Jong PSV,Nederland,23,38,45,59,63
Roda JC,Nederland,23,38,43,49,59
Helmond Sport,Nederland,23,38,43,39,57
TOP Oss,Nederland,23,38,37,45,76
FC Dordrecht,Nederland,23,38,35,41,68
FC Den Bosch,Nederland,23,38,35,46,85
Jong FC Utrecht,Nederland,23,38,28,33,65
FC Emmen,Nederland,22,38,83,64,24
FC Volendam,Nederland,22,38,75,81,53
FC Eindhoven,Nederland,22,38,71,69,43
ADO Den Haag,Nederland,22,38,67,76,53
Roda JC,Nederland,22,38,66,77,50
Excelsior Rotterdam,Nederland,22,38,66,82,57
Jong Ajax,Nederland,22,38,63,82,63
NAC Breda,Nederland,22,38,59,60,45
De Graafschap,Nederland,22,38,56,52,43
VVV-Venlo,Nederland,22,38,48,50,64
FC Den Bosch,Nederland,22,38,47,42,61
Jong PSV,Nederland,22,38,44,61,63
Jong AZ,Nederland,22,38,42,39,50
Almere City,Nederland,22,38,41,57,69
TOP Oss,Nederland,22,38,41,48,62
MVV,Nederland,22,38,40,43,75
FC Dordrecht,Nederland,22,38,39,53,77
Jong FC Utrecht,Nederland,22,38,38,43,67
Telstar,Nederland,22,38,35,47,74
Helmond SportNederland,22,38,28,39,72
SC Cambuur-Leeuwarden,Nederland,21,38,92,109,36
Go Ahead Eagles,Nederland,21,38,77,62,25
De Graafschap,Nederland,21,38,77,67,47
Almere City,Nederland,21,38,75,75,48
NAC Breda,Nederland,21,38,73,75,41
FC Volendam,Nederland,21,38,66,79,52
NEC Nijmegen,Nederland,21,38,66,68,45
Roda JC,Nederland,21,38,57,67,61
Excelsior,Nederland,21,38,48,65,66
FC Oss,Nederland,21,38,47,40,57
MVV,Nederland,21,38,46,50,72
Helmond Sport,21,38,45,51,68
Telstar,21,38,41,57,61
Jong PSV,21,38,40,54,65
FC Eindhoven,21,38,40,50,62
Jong Ajax,21,38,40,55,71
Jong AZ,21,38,38,56,92
Jong FC Utrecht,21,38,35,53,77
FC Den Bosch,21,38,32,59,85
FC Dordrecht,21,38,27,36,97
FC Twente Enschede,Nederland,19,38,80,72,39
Sparta Rotterdam,Nederland,19,38,69,78,37
Jong PSV,Nederland,19,38,63,77,59
FC Den Bosch,Nederland,19,38,63,64,49
Go Ahead Eagles,Nederland,19,38,63,63,57
FC Oss,Nederland,19,38,62,48,40
Almere City,Nederland,19,38,62,60,63
RKC Waalwijk,Nederland,19,38,59,69,57
NEC,Nederland,19,38,58,73,60
Cambuur,Nederland,19,38,58,61,48
Jong Ajax,Nederland,19,38,58,81,67
MVV,Nederland,19,38,54,49,53
Roda JC,Nederland,19,38,53,57,59
FC Eindhoven,Nederland,19,38,48,52,48
Telstar,Nederland,19,38,48,45,58
FC Volendam,Nederland,19,38,41,46,62
FC Dordrecht,Nederland,19,38,36,54,84
Jong AZ,Nederland,19,38,33,46,67
Jong FC Utrecht,Nederland,19,38,23,47,90
Helmond Sport,Nederland,19,38,22,37,72
Norwich City,Engeland,19,46,94,93,57
Sheffield United,Engeland,19,46,89,78,41
Leeds,Engeland,19,46,83,73,50
West Bromwich Albion,Engeland,19,46,80,87,62
Aston Villa,Engeland,19,46,76,82,61
