Competitie,Seizoen,Url
Engeland,23,https://www.football-data.co.uk/mmz4281/2223/E0.csv
Engeland,22,https://www.football-data.co.uk/mmz4281/2122/E0.csv
Engeland,21,https://www.football-data.co.uk/mmz4281/2021/E0.csv
Engeland,20,https://www.football-data.co.uk/mmz4281/1920/E0.csv
Engeland,19,https://www.football-data.co.uk/mmz4281/1819/E0.csv
Engeland,18,https://www.football-data.co.uk/mmz4281/1718/E0.csv
Engeland,17,https://www.football-data.co.uk/mmz4281/1617/E0.csv
Engeland,16,https://www.football-data.co.uk/mmz4281/1516/E0.csv
Engeland,15,https://www.football-data.co.uk/mmz4281/1415/E0.csv
Engeland,14,https://www.football-data.co.uk/mmz4281/1314/E0.csv
Duitsland,23,https://www.football-data.co.uk/mmz4281/2223/D1.csv
Duitsland,22,https://www.football-data.co.uk/mmz4281/2122/D1.csv
Duitsland,21,https://www.football-data.co.uk/mmz4281/2021/D1.csv
Duitsland,20,https://www.football-data.co.uk/mmz4281/1920/D1.csv
Duitsland,19,https://www.football-data.co.uk/mmz4281/1819/D1.csv
Duitsland,18,https://www.football-data.co.uk/mmz4281/1718/D1.csv
Duitsland,17,https://www.football-data.co.uk/mmz4281/1617/D1.csv
Duitsland,16,https://www.football-data.co.uk/mmz4281/1516/D1.csv
Duitsland,15,https://www.football-data.co.uk/mmz4281/1415/D1.csv
Duitsland,14,https://www.football-data.co.uk/mmz4281/1314/D1.csv
Italie,23,https://www.football-data.co.uk/mmz4281/2223/I1.csv
Italie,22,https://www.football-data.co.uk/mmz4281/2122/I1.csv
Italie,21,https://www.football-data.co.uk/mmz4281/2021/I1.csv
Italie,20,https://www.football-data.co.uk/mmz4281/1920/I1.csv
Italie,19,https://www.football-data.co.uk/mmz4281/1819/I1.csv
Italie,18,https://www.football-data.co.uk/mmz4281/1718/I1.csv
Italie,17,https://www.football-data.co.uk/mmz4281/1617/I1.csv
Italie,16,https://www.football-data.co.uk/mmz4281/1516/I1.csv
Italie,15,https://www.football-data.co.uk/mmz4281/1415/I1.csv
Italie,14,https://www.football-data.co.uk/mmz4281/1314/I1.csv
Spanje,23,https://www.football-data.co.uk/mmz4281/2223/SP1.csv
Spanje,22,https://www.football-data.co.uk/mmz4281/2122/SP1.csv
Spanje,21,https://www.football-data.co.uk/mmz4281/2021/SP1.csv
Spanje,20,https://www.football-data.co.uk/mmz4281/1920/SP1.csv
Spanje,19,https://www.football-data.co.uk/mmz4281/1819/SP1.csv
Spanje,18,https://www.football-data.co.uk/mmz4281/1718/SP1.csv
Spanje,17,https://www.football-data.co.uk/mmz4281/1617/SP1.csv
Spanje,16,https://www.football-data.co.uk/mmz4281/1516/SP1.csv
Spanje,15,https://www.football-data.co.uk/mmz4281/1415/SP1.csv
Spanje,14,https://www.football-data.co.uk/mmz4281/1314/SP1.csv
Frankrijk,23,https://www.football-data.co.uk/mmz4281/2223/F1.csv
Frankrijk,22,https://www.football-data.co.uk/mmz4281/2122/F1.csv
Frankrijk,21,https://www.football-data.co.uk/mmz4281/2021/F1.csv
Frankrijk,20,https://www.football-data.co.uk/mmz4281/1920/F1.csv
Frankrijk,19,https://www.football-data.co.uk/mmz4281/1819/F1.csv
Frankrijk,18,https://www.football-data.co.uk/mmz4281/1718/F1.csv
Frankrijk,17,https://www.football-data.co.uk/mmz4281/1617/F1.csv
Frankrijk,16,https://www.football-data.co.uk/mmz4281/1516/F1.csv
Frankrijk,15,https://www.football-data.co.uk/mmz4281/1415/F1.csv
Frankrijk,14,https://www.football-data.co.uk/mmz4281/1314/F1.csv
Nederland,23,https://www.football-data.co.uk/mmz4281/2223/N1.csv
Nederland,22,https://www.football-data.co.uk/mmz4281/2122/N1.csv
Nederland,21,https://www.football-data.co.uk/mmz4281/2021/N1.csv
Nederland,20,https://www.football-data.co.uk/mmz4281/1920/N1.csv
Nederland,19,https://www.football-data.co.uk/mmz4281/1819/N1.csv
Nederland,18,https://www.football-data.co.uk/mmz4281/1718/N1.csv
Belgie,23,https://www.football-data.co.uk/mmz4281/2223/B1.csv
Belgie,22,https://www.football-data.co.uk/mmz4281/2122/B1.csv
Belgie,21,https://www.football-data.co.uk/mmz4281/2021/B1.csv
Belgie,20,https://www.football-data.co.uk/mmz4281/1920/B1.csv
Belgie,19,https://www.football-data.co.uk/mmz4281/1819/B1.csv
Belgie,18,https://www.football-data.co.uk/mmz4281/1718/B1.csv
Portugal,23,https://www.football-data.co.uk/mmz4281/2223/P1.csv
Portugal,22,https://www.football-data.co.uk/mmz4281/2122/P1.csv
Portugal,21,https://www.football-data.co.uk/mmz4281/2021/P1.csv
Portugal,20,https://www.football-data.co.uk/mmz4281/1920/P1.csv
Portugal,19,https://www.football-data.co.uk/mmz4281/1819/P1.csv
Portugal,18,https://www.football-data.co.uk/mmz4281/1718/P1.csv
Turkije,23,https://www.football-data.co.uk/mmz4281/2223/T1.csv
Turkije,22,https://www.football-data.co.uk/mmz4281/2122/T1.csv
Turkije,21,https://www.football-data.co.uk/mmz4281/2021/T1.csv
Turkije,20,https://www.football-data.co.uk/mmz4281/1920/T1.csv
Turkije,19,https://www.football-data.co.uk/mmz4281/1819/T1.csv
Turkije,18,https://www.football-data.co.uk/mmz4281/1718/T1.csv
