Competitie,Seizoen,Url
Engeland,23,https://www.football-data.co.uk/mmz4281/2223/E1.csv
Engeland,22,https://www.football-data.co.uk/mmz4281/2122/E1.csv
Engeland,21,https://www.football-data.co.uk/mmz4281/2021/E1.csv
Engeland,20,https://www.football-data.co.uk/mmz4281/1920/E1.csv
Engeland,19,https://www.football-data.co.uk/mmz4281/1819/E1.csv
Engeland,18,https://www.football-data.co.uk/mmz4281/1718/E1.csv
Engeland,17,https://www.football-data.co.uk/mmz4281/1617/E1.csv
Engeland,16,https://www.football-data.co.uk/mmz4281/1516/E1.csv
Engeland,15,https://www.football-data.co.uk/mmz4281/1415/E1.csv
Engeland,14,https://www.football-data.co.uk/mmz4281/1314/E1.csv
Duitsland,23,https://www.football-data.co.uk/mmz4281/2223/D2.csv
Duitsland,22,https://www.football-data.co.uk/mmz4281/2122/D2.csv
Duitsland,21,https://www.football-data.co.uk/mmz4281/2021/D2.csv
Duitsland,20,https://www.football-data.co.uk/mmz4281/1920/D2.csv
Duitsland,19,https://www.football-data.co.uk/mmz4281/1819/D2.csv
Duitsland,18,https://www.football-data.co.uk/mmz4281/1718/D2.csv
Duitsland,17,https://www.football-data.co.uk/mmz4281/1617/D2.csv
Duitsland,16,https://www.football-data.co.uk/mmz4281/1516/D2.csv
Duitsland,15,https://www.football-data.co.uk/mmz4281/1415/D2.csv
Duitsland,14,https://www.football-data.co.uk/mmz4281/1314/D2.csv
Italie,23,https://www.football-data.co.uk/mmz4281/2223/I2.csv
Italie,22,https://www.football-data.co.uk/mmz4281/2122/I2.csv
Italie,21,https://www.football-data.co.uk/mmz4281/2021/I2.csv
Italie,20,https://www.football-data.co.uk/mmz4281/1920/I2.csv
Italie,19,https://www.football-data.co.uk/mmz4281/1819/I2.csv
Italie,18,https://www.football-data.co.uk/mmz4281/1718/I2.csv
Italie,17,https://www.football-data.co.uk/mmz4281/1617/I2.csv
Italie,16,https://www.football-data.co.uk/mmz4281/1516/I2.csv
Italie,15,https://www.football-data.co.uk/mmz4281/1415/I2.csv
Italie,14,https://www.football-data.co.uk/mmz4281/1314/I2.csv
Spanje,23,https://www.football-data.co.uk/mmz4281/2223/SP2.csv
Spanje,22,https://www.football-data.co.uk/mmz4281/2122/SP2.csv
Spanje,21,https://www.football-data.co.uk/mmz4281/2021/SP2.csv
Spanje,20,https://www.football-data.co.uk/mmz4281/1920/SP2.csv
Spanje,19,https://www.football-data.co.uk/mmz4281/1819/SP2.csv
Spanje,18,https://www.football-data.co.uk/mmz4281/1718/SP2.csv
Spanje,17,https://www.football-data.co.uk/mmz4281/1617/SP2.csv
Spanje,16,https://www.football-data.co.uk/mmz4281/1516/SP2.csv
Spanje,15,https://www.football-data.co.uk/mmz4281/1415/SP2.csv
Spanje,14,https://www.football-data.co.uk/mmz4281/1314/SP2.csv
Frankrijk,23,https://www.football-data.co.uk/mmz4281/2223/F2.csv
Frankrijk,22,https://www.football-data.co.uk/mmz4281/2122/F2.csv
Frankrijk,21,https://www.football-data.co.uk/mmz4281/2021/F2.csv
Frankrijk,20,https://www.football-data.co.uk/mmz4281/1920/F2.csv
Frankrijk,19,https://www.football-data.co.uk/mmz4281/1819/F2.csv
Frankrijk,18,https://www.football-data.co.uk/mmz4281/1718/F2.csv
Frankrijk,17,https://www.football-data.co.uk/mmz4281/1617/F2.csv
Frankrijk,16,https://www.football-data.co.uk/mmz4281/1516/F2.csv
Frankrijk,15,https://www.football-data.co.uk/mmz4281/1415/F2.csv
Frankrijk,14,https://www.football-data.co.uk/mmz4281/1314/F2.csv
