"","Transfermarkt","Footballdata"
"1","Manchester United","Man United"
"2","Chelsea FC","Chelsea"
"3","Arsenal FC","Arsenal"
"4","Manchester City","Man City"
"5","Tottenham Hotspur","Tottenham"
"6","Liverpool FC","Liverpool"
"7","Everton FC","Everton"
"8","West Ham United","West Ham"
"9","Leicester City","Leicester"
"10","Southampton FC","Southampton"
"11","Crystal Palace","Crystal Palace"
"12","Stoke City","Stoke"
"13","Swansea City","Swansea"
"14","Watford FC","Watford"
"15","Newcastle United","Newcastle"
"16","West Bromwich Albion","West Brom"
"17","AFC Bournemouth","Bournemouth"
"18","Brighton & Hove Albion","Brighton"
"19","Burnley FC","Burnley"
"20","Huddersfield Town","Huddersfield"
"21","Hull City","Hull"
"22","Middlesbrough FC","Middlesbrough"
"23","Sunderland AFC","Sunderland"
"24","Aston Villa","Aston Villa"
"25","Norwich City","Norwich"
"26","Queens Park Rangers","QPR"
"27","Fulham FC","Fulham"
"28","Cardiff City","Cardiff"
"29","Paris Saint-Germain","Paris SG"
"30","AS Monaco","Monaco"
"31","Olympique Marseille","Marseille"
"32","OGC Nice","Nice"
"33","Olympique Lyon","Lyon"
"34","AS Saint-Étienne","St Etienne"
"35","FC Girondins Bordeaux","Bordeaux"
"36","FC Toulouse","Toulouse"
"37","Stade Rennais FC","Rennes"
"38","FC Nantes","Nantes"
"39","EA Guingamp","Guingamp"
"40","SCO Angers","Angers"
"41","LOSC Lille","Lille"
"42","FC Metz","Metz"
"43","SM Caen","Caen"
"44","HSC Montpellier","Montpellier"
"45","FCO Dijon","Dijon"
"46","SC Amiens","Amiens"
"47","ES Troyes AC","Troyes"
"48","RC Strasbourg Alsace","Strasbourg"
"49","FC Lorient","Lorient"
"50","SC Bastia","Bastia"
"51","AS Nancy-Lorraine","Nancy"
"52","Stade Reims","Reims"
"53","GFC Ajaccio","Ajaccio GFCO"
"54","FC Évian Thonon Gaillard","Evian Thonon Gaillard"
"55","RC Lens","Lens"
"56","FC Sochaux-Montbéliard","Sochaux"
"57","Valenciennes FC ","Valenciennes"
"58","AC Ajaccio","Ajaccio"
"59","Bayern Munich","Bayern Munich"
"60","Borussia Dortmund","Dortmund"
"61","Bayer 04 Leverkusen","Leverkusen"
"62","FC Schalke 04","Schalke 04"
"63","RB Leipzig","RB Leipzig"
"64","VfL Wolfsburg","Wolfsburg"
