Competitie,Seizoen,Url
Nederland,24,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1
Engeland,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/GB1
Spanje,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/ES1
Italie,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/IT1
Duitsland,24,https://www.transfermarkt.com/jumplist/startseite/Wettbewerb/L1
Frankrijk,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/FR1
Belgie,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/BE1
Portugal,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/PO1
Griekenland,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/GR1
Turkije,24,https://www.transfermarkt.com/jumplist/startseite/wettbewerb/TR1
